Contenu_,Date_,Utilisateur_,Source_,ID_,Tweet URL
@VirusWar Merci pour la News !,2020-12-11 16:18:44,FLouloudia,Twitter for Android,1337431635441168386,https://twitter.com/statuses/1337431635441168386
"@resilie28575107 Donc ce n'est jamais arrivé..
FAKE NEWS",2020-12-11 16:18:34,DenisSerry,Twitter for Android,1337431590583083017,https://twitter.com/statuses/1337431590583083017
#rclens #RCLMHSC  | Lens - Montpellier: Le groupe lensois https://t.co/LeQmR5mqLa https://t.co/VeToJVEium,2020-12-11 16:18:31,MadeInLens,JO Auto Twitter,1337431580588072962,https://twitter.com/statuses/1337431580588072962
L'IA pourrait remplacer l'Homme dans le secteur de la cybersécurité d'ici 2030 https://t.co/EbOXTV4E39,2020-12-11 16:18:21,TechradarFrance,IFTTT,1337431535801262081,https://twitter.com/statuses/1337431535801262081
"Depuis un moment
Il semblerait qu'il fasse un peu trop la fête
Son visage en dit long attention ! 
Laurent Mariotte répond aux critiques sur ses recettes de Petits plats en équilibre https://t.co/GccBNOAz6W",2020-12-11 16:18:06,LouvLouv1,Twitter for Android,1337431472878325760,https://twitter.com/statuses/1337431472878325760
"Ultra-gauche : sept personnes soupçonnées d'avoir projeté une ""action violente"" entendues par un juge antiterroriste https://t.co/dIXSKJBfvj",2020-12-11 16:18:05,defcon__3,Twitter Web App,1337431472282734598,https://twitter.com/statuses/1337431472282734598
Plusieurs accidents dans la région https://t.co/aUi3Dg733u,2020-12-11 16:18:05,radiorjb,IFTTT,1337431472232423432,https://twitter.com/statuses/1337431472232423432
@resilie28575107 Même dans ton article c'est écrit qu'il n'ont pas retiré les subventions.. FAKE NEWS,2020-12-11 16:18:05,DenisSerry,Twitter for Android,1337431471628414978,https://twitter.com/statuses/1337431471628414978
"Netflix : la série ""Plan cœur"" renouvelée pour une troisième et dernière saison

Article gratuit : https://t.co/5mSLO6AqRc",2020-12-11 16:18:02,Satellifax,Satellifax Articles,1337431457661333508,https://twitter.com/statuses/1337431457661333508
"En Guyane, une homophobie encore bien présente. https://t.co/0SppXXyQLp #guyane",2020-12-11 16:18:00,guyanenews,flux info,1337431450908569609,https://twitter.com/statuses/1337431450908569609
Le bilan catastrophique de Ronald Koeman à la tête du Barça https://t.co/rZmupH9EjE,2020-12-11 16:17:43,walfoot,Walfoot,1337431376526761985,https://twitter.com/statuses/1337431376526761985
"@btankraide Sinon ""foutage de gueule"" c est quel level ?",2020-12-11 16:17:37,News_PN_GD,Twitter for Android,1337431352950611968,https://twitter.com/statuses/1337431352950611968
"Une ""arme"" presque comme une autre

https://t.co/8SCdA71yLC",2020-12-11 16:17:27,YahooActuFR,TweetDeck,1337431309250080770,https://twitter.com/statuses/1337431309250080770
Christmas pudding : la recette pour un Noël festif signée Hélène Darroze https://t.co/ZvVoai39Vd https://t.co/qeQkbOP7Jl,2020-12-11 16:17:20,TeleLoisirs,Echobox,1337431280972156929,https://twitter.com/statuses/1337431280972156929
"Ottawa Police Service launches Third-Party Harassment Reporting for Members https://t.co/LRH8esGX7u

Le Service de police d'Ottawa inaugure un mécanisme de signalement du harcèlement géré par un tiers à l’intention de ses membres https://t.co/A0mUE5OaWy

#ottnews #Ottnouvelles",2020-12-11 16:17:04,OttawaPolice,TweetDeck,1337431212797923330,https://twitter.com/statuses/1337431212797923330
VIDEO - Hyundai : le Ioniq 5 c’est pour bientôt ! https://t.co/tWDjKLVH2i via @Turbo.fr,2020-12-11 16:16:49,Alorscaroule,Twitter for Android,1337431150873206784,https://twitter.com/statuses/1337431150873206784
De nouveaux travaux menés par l’université de Copenhague (Danemark) montrent que des changements climatiques brutaux pourraient avoir été liés à un déclin rapide et étendu de la couverture de glace de mer dans les mers du nord. https://t.co/cOM6ANwEX4,2020-12-11 16:16:39,oceanvivant,Twitter Web App,1337431110779871232,https://twitter.com/statuses/1337431110779871232
"Coronavirus en Algérie: 542 nouveaux cas, 455 guérisons et 11 décès ces dernières 24 heures https://t.co/SIDAk8fTYu https://t.co/hU6tsrzjTH",2020-12-11 16:16:33,fibladifr,dlvr.it,1337431083487350784,https://twitter.com/statuses/1337431083487350784
"Téléfoot : la Ligue de football met fin au contrat, la chaîne va fermer https://t.co/7gAFSS2la1",2020-12-11 16:16:32,blackbox_fm,dlvr.it,1337431080987631616,https://twitter.com/statuses/1337431080987631616
La Région bruxelloise obtient 55 millions pour l’organisation des sommets européens https://t.co/BsqvHZVr2q https://t.co/dqDiOmZZuV,2020-12-11 16:16:14,BX1_Actu,Telebruxelles_web,1337431006362677248,https://twitter.com/statuses/1337431006362677248
Nicolas Bedos se moque de Jean Castex et réagit aux cinémas fermés jusqu'à nouvel ordre https://t.co/ZV8cSK1BXV https://t.co/tJWeHRmrPZ,2020-12-11 16:15:55,voici,Echobox,1337430925798469633,https://twitter.com/statuses/1337430925798469633
"@AymericPM Quelque part, tout dépend exclusivement des lois de chaque pays.

Perso je suis dubitative. Car d’une solution à une autre... https://t.co/2aafaJauyP https://t.co/SQmSy9xWnc",2020-12-11 16:15:51,ouam_bdk,Twitter for iPhone,1337430909130301443,https://twitter.com/statuses/1337430909130301443
Guy Fawkes News: Deux médecins anti-masques interdits d'exercer https://t.co/A8haUMaJU9 https://t.co/Jg66DPj1ou,2020-12-11 16:15:46,Padraig41311678,Twitter Web App,1337430889576456194,https://twitter.com/statuses/1337430889576456194
Flying Wild Hog et Focus Home Interactive dévoilent #EvilWest à venir en 2021 https://t.co/o3VknF37jr,2020-12-11 16:15:43,jeuxvideo24,WordPress.com,1337430875953356801,https://twitter.com/statuses/1337430875953356801
"Marseille est au bord de la crise humanitaire à cause des  mesures délirantes imposées par Macron qui n'ont aucun effet sur le covid et ne font que plonger un maximum de gens dans la pauvreté...
Et toujours aucun politicard pour stopper ce carnage...
https://t.co/e8DImqLw41",2020-12-11 16:15:35,PChaibriant,Twitter Web App,1337430841232936965,https://twitter.com/statuses/1337430841232936965
Gironde : des impacts de balles découverts sur un local de la police https://t.co/brzaSSfetG,2020-12-11 16:15:32,witfm,dlvr.it,1337430828289150978,https://twitter.com/statuses/1337430828289150978
"The game awards, les annonces - Shady Part of Me est disponible dès maintenant https://t.co/GruysgWZ04",2020-12-11 16:15:29,GamepushFr,Gamepush2,1337430814703882240,https://twitter.com/statuses/1337430814703882240
"L’UNESCO et les Ministères en charge de l’éducation au Cameroun évaluent leur apport à la mise en place du système de continuité pédagogique et recensent les leçons apprises.
https://t.co/zJEE9LfnR5 https://t.co/J6THIfwaLk",2020-12-11 16:15:22,UnescoYaounde,Twitter Web App,1337430787508101120,https://twitter.com/statuses/1337430787508101120
"Les Reines du shopping : Viktoria (Les Princes de l'amour 4) déçue par le montage, elle balance https://t.co/Ka4HnG4rdN https://t.co/UWLot6DRNc",2020-12-11 16:15:20,pure_break,Purebreak (publi articles),1337430779408879616,https://twitter.com/statuses/1337430779408879616
[Article à lire ou à relire] - #AWS présente la capacité de répétition et d'archivage d'événements dans son service #Eventbridge -- https://t.co/Er6Xep4E7U,2020-12-11 16:15:10,InfoQFR,Hootsuite Inc.,1337430737079971843,https://twitter.com/statuses/1337430737079971843
'A joke!' - Saha angry at Pogba situation & says Bruno Fernandes is at same level as De Bruyne https://t.co/ajBizNXDp2 https://t.co/RLBu9Gc8YV,2020-12-11 16:15:05,GoalcomKenya,dlvr.it,1337430714053132289,https://twitter.com/statuses/1337430714053132289
Villeurbanne : le maire s'apprête à faire face aux... gamers https://t.co/RY4KO79hAG https://t.co/dYT8NrzigB,2020-12-11 16:15:03,lyoncap,dlvr.it,1337430708537622530,https://twitter.com/statuses/1337430708537622530
Doubs : une fête clandestine fait d'énormes dégâts dans un gîte https://t.co/jppNx37b8R,2020-12-11 16:15:03,orphee45,Twitter for iPhone,1337430707292020737,https://twitter.com/statuses/1337430707292020737
"Quelqu'un a-t-il appelé un exterminateur?

L’extension Hivebusters de Gears 5 sera disponible le 15 décembre dans le Xbox Game Pass Ultimate : https://t.co/cAVc0EQdQ1 https://t.co/qsROYdqC9V",2020-12-11 16:15:03,XboxFR,Twitter Media Studio,1337430705987579912,https://twitter.com/statuses/1337430705987579912
"@RitzenthalerLo1 Google -> Memphis Depay -> Actualité 

Bam, t’as la presse et l’info !",2020-12-11 16:14:46,Woodl4wn,Twitter for iPhone,1337430637721120781,https://twitter.com/statuses/1337430637721120781
Jon Bernthal de retour dans une nouvelle série sur Amazon - https://t.co/iNsHQ8hG1P https://t.co/iHwKIozzBY,2020-12-11 16:13:46,SeasonPremiere_,Zapier.com,1337430383261069314,https://twitter.com/statuses/1337430383261069314
"La #publicité peut-elle devenir un acteur de la #TransitionEcologique""? Une question centrale et plus que jamais d'actualité à lire dans le magazine de l'@ademe! https://t.co/I6r52x1AjF",2020-12-11 16:13:40,val0112,Twitter Web App,1337430359202525184,https://twitter.com/statuses/1337430359202525184
"Cette année, le virus semble particulièrement virulent

https://t.co/7PvwAbA3iM",2020-12-11 16:13:37,YahooActuFR,TweetDeck,1337430346397343749,https://twitter.com/statuses/1337430346397343749
@AJHolbecq Je suis bien d acvord c est une honte ou est la liberte d expression ? c news deconne et pourquoi pour les biens pensants toujours les memes,2020-12-11 16:13:24,Lucasjojo44,Twitter Web App,1337430291321925636,https://twitter.com/statuses/1337430291321925636
Y'a des news qui donnent le smile https://t.co/pp2ycfFkEf,2020-12-11 16:13:07,Amperora,Twitter for Android,1337430218957615108,https://twitter.com/statuses/1337430218957615108
"[Paroles de lecteurs] Redressement judiciaire, faillite : rompre l'omerta sur des « tabous » https://t.co/xExLcmye1W https://t.co/XwQxYc8gY5",2020-12-11 16:13:03,TerrenetFR,dlvr.it,1337430202612285441,https://twitter.com/statuses/1337430202612285441
"Cette semaine je me suis un peu coupé de l'actualité politique. Enfin, plus que d'habitude. Ca fait du bien de temps en temps de pas entendre Darmanin et le reste de la clique enchaîné les conneries sur tous les plateaux télé.",2020-12-11 16:12:55,Faendys,Twitter Web App,1337430168986595328,https://twitter.com/statuses/1337430168986595328
DATE LIMITE DE SOUMISSION PROLONGÉE — Faites-vous du travail en lien avec notre thème : la consommation de cannabis chez les jeunes? Soumettez un résumé pour le Forum d'échange des connaissances sur le cannabis d'ici le 14 décembre: https://t.co/OOBWfYh50i #cannabis #CKEF2021 https://t.co/mD54Qf1k8N,2020-12-11 16:12:46,EENet_news,Twitter Web App,1337430132697554947,https://twitter.com/statuses/1337430132697554947
"A lire ce soir dans Bee Travel News...
https://t.co/rge3u9FMDF via @sendinblue_fr",2020-12-11 16:12:08,NicolasBarbery,Twitter Web App,1337429971829190657,https://twitter.com/statuses/1337429971829190657
"CD Projekt RED : L'action chute en bourse après la sortie de Cyberpunk 2077, les analystes s'inquiètent
 https://t.co/v9qqVzDGaf",2020-12-11 16:12:06,Gameblog,AgoraPulse Manager,1337429963675291655,https://twitter.com/statuses/1337429963675291655
La bonne news de la journée C'EST LE TRAILER DE WINTER SOLDIER X FALCON !!! Pépite,2020-12-11 16:11:52,stjornudottirs,Twitter for Android,1337429907148779520,https://twitter.com/statuses/1337429907148779520
"Petit memo express des trucs qu'il me reste à faire :
- allez vérifier les messages sur vinted
- recontacter les gens à qui j'ai envoyée un truc et pas de news sur insta
- envoyez CV & LM en espérant que le site du PE remarche-",2020-12-11 16:11:23,erika_cllx,Twitter for Android,1337429784654192641,https://twitter.com/statuses/1337429784654192641
"Malgré le Covid et sa défaite, Donald Trump multiplie les exécutions https://t.co/bAspd48yzc 

quel homme ce fameux "" président "" ... !
< moi, je ... >",2020-12-11 16:11:22,stephen68827884,Twitter Web App,1337429778106814469,https://twitter.com/statuses/1337429778106814469
#Mali : l’actualité du jour en Bambara Vendredi 11 Décembre 2020 #Mali https://t.co/XWMg4mbXUG,2020-12-11 16:11:15,maliactu,Maliactunet,1337429749409386496,https://twitter.com/statuses/1337429749409386496
Le Xbox Game Pass fait le plein de nouveautés pendant les Game Awards https://t.co/1hYygNZy13 #News https://t.co/U5vh1JPsAZ,2020-12-11 16:11:05,JournalDuGeek,JournalduGeekv10,1337429707856502787,https://twitter.com/statuses/1337429707856502787
"Le 11 juin 2016, c'est ""un tsunami"", ""une armée"" de supporters russes qui a déferlé sur Marseille, laissant un fan anglais infirme à vie: 4 ans après, devant les assises, deux CRS reviennent sur cette ""action commando"" qui avait marqué l'Euro-2016 https://t.co/2HHbrg7QiA #AFP https://t.co/HdwP1B2S0l",2020-12-11 16:11:00,afpfr,TweetDeck,1337429686868066304,https://twitter.com/statuses/1337429686868066304
"Budget de la Cocof : la majorité approuve, l’opposition s’inquiète pour le futur https://t.co/4OSqIEKXXO https://t.co/yGVeA6CEiW",2020-12-11 16:10:57,BX1_Actu,Telebruxelles_web,1337429674998296576,https://twitter.com/statuses/1337429674998296576
Mercato – Barcelone : Koeman active une nouvelle piste pour le mercato hivernal ! https://t.co/QsvFj0LQYV,2020-12-11 16:10:25,Eurofoot5,WordPress.com,1337429540315000833,https://twitter.com/statuses/1337429540315000833
"Real : Trop fort mais trop vieux, Benzema mis en vitrine https://t.co/F6LgZ2b5Mi",2020-12-11 16:10:25,Eurofoot5,WordPress.com,1337429539501314048,https://twitter.com/statuses/1337429539501314048
"Le Conseil fédéral met ses menaces à exécution, avec des exceptions notables | via @heidi_news https://t.co/Yt9epkZtnc",2020-12-11 16:10:21,pahildbrand,Twitter Web App,1337429523781070848,https://twitter.com/statuses/1337429523781070848
"Au rayon de l'actualité de l'imprimé par temps de pandémie : un ""toutes boites"" reçu ce jour soutenant que ""le virus le plus dangereux est le virus de la peur diffusé par les médias !"" https://t.co/dNdccy7Ayo",2020-12-11 16:10:08,legal_hist,Twitter for Android,1337429468173004800,https://twitter.com/statuses/1337429468173004800
JMFINANCIL - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation https://t.co/dTUfbuzHBX,2020-12-11 16:10:04,BSE_News,BSE_Announce,1337429452385525762,https://twitter.com/statuses/1337429452385525762
Cyberpunk 2077 explose sur Steam le record du nombre de joueurs simultanés pour un jeu solo https://t.co/B0ZzDU8Qvz https://t.co/oNmZKScBMB,2020-12-11 16:10:02,GNT_fr,Génération-NT,1337429444592611329,https://twitter.com/statuses/1337429444592611329
"Podcast #LesEngagés : cinq ans après l'Accord de Paris, rencontre avec Laurent Fabius, président de la COP21 - à écouter absolument ! https://t.co/3AOV6HvjsU via @Novethic",2020-12-11 16:09:53,ADumas5,Twitter Web App,1337429407250702340,https://twitter.com/statuses/1337429407250702340
"@YoTheFinesseKid c'est une fake news

L'image a ete utilisée deja en janvier 2020 

https://t.co/fc0JUTA7IR",2020-12-11 16:09:40,zafkent,Twitter Web App,1337429351743283200,https://twitter.com/statuses/1337429351743283200
@ABaudeneau Attendez-vous dans le procès Le Scouarnec à l'argument de la formation étudiants qui prolonge l'anesthésie sans prévenir le patient ou les parents si le patient est mineur : https://t.co/NqTKRUeiWI,2020-12-11 16:09:38,Praxeologie1,Twitter Web App,1337429345820930053,https://twitter.com/statuses/1337429345820930053
L'UE conclut un accord difficile sur l'objectif climatique pour 2030 - EURACTIV France https://t.co/S1mSYNQga4 https://t.co/2CW8a7qCfq,2020-12-11 16:09:33,bulgarie,dlvr.it,1337429322101977089,https://twitter.com/statuses/1337429322101977089
Twitter : le partage de tweets sur Snapchat et Instagram arrive sur iOS https://t.co/brWPF2MDKS,2020-12-11 16:09:32,jbey4you,IFTTT,1337429319921045506,https://twitter.com/statuses/1337429319921045506
@DenisSerry Pas fake news c’est un conseiller municipal du RN,2020-12-11 16:09:16,resilie28575107,Twitter for iPhone,1337429252321505280,https://twitter.com/statuses/1337429252321505280
pour ceux qui cherche last tj d’actualité https://t.co/FlN1BLMnw9,2020-12-11 16:08:57,VeSpiFTN,Twitter for iPhone,1337429174097735682,https://twitter.com/statuses/1337429174097735682
"Ce serait sympa d'avoir des news.
Meme si les tournages sont ralentis...
Les gars n'ont qu'un film d'annonce chacun je crois ..",2020-12-11 16:08:54,_thsundancekid,Twitter for Android,1337429158289420289,https://twitter.com/statuses/1337429158289420289
@ibkhalilbez Youssou Beye est toujours à l’écart  je pense je pense que Le Mariage n’est plus d’actualité vu qu’ils ont un nouveau héritier pour la bague orange... reste à le convaincre de s’associer à eux,2020-12-11 16:08:28,MrCiss,Twitter for iPhone,1337429052144181249,https://twitter.com/statuses/1337429052144181249
"La problématique existe depuis plusieurs années Mr. Paul Brunet.
En 2010, un article que vous avez commenté concernant le sujet dans la santé.
Les libéraux étaient au pouvoir.
Et que dire de la Réforme Barrette, quel gâchis... https://t.co/k6wojzIwPI",2020-12-11 16:08:20,Ioanioan1234,Twitter for Android,1337429017012686853,https://twitter.com/statuses/1337429017012686853
"Vous avez vu ça passer? Vous en pensez quoi? #Aliens exist and they're bunkered under Mars, ex-Israeli space official says https://t.co/VRA48RV6QT",2020-12-11 16:08:18,f_pepin,Twitter Web App,1337429009571909633,https://twitter.com/statuses/1337429009571909633
"@nathalie_gahan Un sans contact, c’est d’actualité #gestebarriere https://t.co/o3ioc9BsIy",2020-12-11 16:08:12,Holl7L,Twitter for iPhone,1337428983810584576,https://twitter.com/statuses/1337428983810584576
L'Agence de la santé publique fédérale revoit ses projections à la baisse https://t.co/RIZrMxfwrH https://t.co/hvwY7PpOs9,2020-12-11 16:08:03,LeQuotidien_Cyb,dlvr.it,1337428945445122053,https://twitter.com/statuses/1337428945445122053
L'Agence de la santé publique fédérale revoit ses projections à la baisse https://t.co/M0jIPtzYmo https://t.co/kSsPXyFnGs,2020-12-11 16:08:03,lavoixdelest,dlvr.it,1337428945000493064,https://twitter.com/statuses/1337428945000493064
L'Agence de la santé publique fédérale revoit ses projections à la baisse https://t.co/YV7At0A5i5 https://t.co/alrzFfIBrU,2020-12-11 16:08:03,le_nouvelliste,dlvr.it,1337428944954433536,https://twitter.com/statuses/1337428944954433536
L'Agence de la santé publique fédérale revoit ses projections à la baisse https://t.co/mrrvqMY7Wl https://t.co/ZQvVZEPVJM,2020-12-11 16:08:03,LeDroitca,dlvr.it,1337428944778264576,https://twitter.com/statuses/1337428944778264576
L'Agence de la santé publique fédérale revoit ses projections à la baisse https://t.co/bZwbGdvQT2 https://t.co/SgkyTkNx1x,2020-12-11 16:08:03,LT_LaTribune,dlvr.it,1337428944685916163,https://twitter.com/statuses/1337428944685916163
L'Agence de la santé publique fédérale revoit ses projections à la baisse https://t.co/NHbJupxWjG https://t.co/MNe6WEsZd3,2020-12-11 16:08:03,cyblesoleil,dlvr.it,1337428944606228482,https://twitter.com/statuses/1337428944606228482
"Khabarhub: Male, female footballers to get equal remuneration - https://t.co/r5QVZDSg9j",2020-12-11 16:07:57,Nepal_News_En,Poster-app,1337428921009188866,https://twitter.com/statuses/1337428921009188866
Les élus approuvent un budget «de solidarité et d’efficacité» pour 2021 https://t.co/5mEN9ai7pw https://t.co/E45nqev3pH,2020-12-11 16:07:55,Seinemaritime76,Seinemaritime76,1337428913891512320,https://twitter.com/statuses/1337428913891512320
Plan local d’urgence sociale: des actions «plus» concrètes https://t.co/5mEN9ai7pw https://t.co/FM2M6mqOvw,2020-12-11 16:07:55,Seinemaritime76,Seinemaritime76,1337428910267650048,https://twitter.com/statuses/1337428910267650048
"@resilie28575107 Et aussi Metz n'a jamais été RN
Double FAKE NEWS",2020-12-11 16:07:49,DenisSerry,Twitter for Android,1337428887895220229,https://twitter.com/statuses/1337428887895220229
900 colis vont ainsi être distribués avant les fêtes. #Orne #Normandie https://t.co/8wVDkwF3gT,2020-12-11 16:07:49,tendanceouest,La Manche Libre New App,1337428886305583104,https://twitter.com/statuses/1337428886305583104
"On va passer sur l’état de la maison mère Global Group et du côté politique de cette histoire qui a été maintenu fois expliqué dans la presse 

https://t.co/rUaFDRcCXR",2020-12-11 16:07:34,MohamedBrahdji,Twitter for iPhone,1337428825643298816,https://twitter.com/statuses/1337428825643298816
"ELLE a 75 ans : Elle Macpherson et ses fils Flynn et Cy, les love trotteurs https://t.co/VUDWjBlbwR https://t.co/guB7BNO9Wd",2020-12-11 16:07:34,ELLEfrance,dlvr.it,1337428824221339650,https://twitter.com/statuses/1337428824221339650
"Xbox Game Pass : en décembre, Among Us, Skyrim, Yakuza et bien d'autres arrivent https://t.co/TL8qIzT9mu https://t.co/hmAW33LaHa",2020-12-11 16:07:34,Clubic,dlvr.it,1337428822140981248,https://twitter.com/statuses/1337428822140981248
Près de Lyon : un jeune homme de 19 ans meurt dans un accident de la route https://t.co/xyrOklbuEL https://t.co/F23VxGHLFX,2020-12-11 16:07:33,lyoncap,dlvr.it,1337428821666979842,https://twitter.com/statuses/1337428821666979842
"Loiret : Christophe Hay, sacré cuisinier de l’année 2021 par le Gault & Millau https://t.co/oOAb0YlrpY",2020-12-11 16:07:33,forumradio,dlvr.it,1337428820563951617,https://twitter.com/statuses/1337428820563951617
"Je me suis déjà connecté 30 jours au total, je ne peux pas m'en passer ! https://t.co/oIPoHGAqGk https://t.co/Y4SCPTugB6",2020-12-11 16:07:24,LunikoG,Twitter for Android,1337428783658360836,https://twitter.com/statuses/1337428783658360836
Varet Près : naissance d'un cabinet en droit de l’immatériel https://t.co/zARvt6d8h3 via @MagDecideurs,2020-12-11 16:07:11,Aureli1enGiraux,Twitter Web App,1337428725441368064,https://twitter.com/statuses/1337428725441368064
"A vos partages les dofusiens !!!

https://t.co/EQn3arrkoR",2020-12-11 16:07:09,AnkamaGuigui,Twitter Web App,1337428719430930432,https://twitter.com/statuses/1337428719430930432
La saison 3 de #TheMandalorian arrivera pour noël 2021 ! https://t.co/SrJC2jtK71,2020-12-11 16:07:05,Mandalorian_hw,Twitter for Android,1337428703408697346,https://twitter.com/statuses/1337428703408697346
Le Havre : un individu fiché «S» menace et agresse un parent d'élève devant une école maternelle https://t.co/c5wVjkEKYz via @Le_Figaro,2020-12-11 16:07:04,mado83700,Twitter for iPhone,1337428697712910337,https://twitter.com/statuses/1337428697712910337
Soutien de Darmanin à Sarkozy : Le Syndicat de la magistrature dénonce une atteinte à la séparation des pouvoirs https://t.co/SDl6AI9zeW,2020-12-11 16:07:03,escada33100,Twitter Web App,1337428694424543235,https://twitter.com/statuses/1337428694424543235
@heidi_news Vous savez quoi...Fuck you le Conseil Fédéral,2020-12-11 16:07:00,Reybaz3,Twitter for iPad,1337428680235167746,https://twitter.com/statuses/1337428680235167746
"[#VendrediLecture] Retour sur le parcours d'Erwan, salarié engagé et coach bénévole auprès de l'association @uniscite.

> https://t.co/zA5q9z84uD https://t.co/YvSk4grY6c",2020-12-11 16:07:00,FondationSNCF,TweetDeck,1337428680235085824,https://twitter.com/statuses/1337428680235085824
"Airbnb, DoorDash... Les marchés sont devenus fous ? https://t.co/ScoPT0ofoC",2020-12-11 16:06:34,ReboulEliot,Twitter Web App,1337428572500340736,https://twitter.com/statuses/1337428572500340736
Les cotes de Newsmax augmentent et dépassent celles de Fox News pour la première fois https://t.co/Cjt6bIzbGx,2020-12-11 16:06:32,Nova153,Twitter Web App,1337428565474816002,https://twitter.com/statuses/1337428565474816002
"@resilie28575107 Je l'attendais c'est le seul exemple... et encore il n'onpas retiré de subvention.. et tu dis '' les municipalités '' 
FAKE NEWS",2020-12-11 16:06:23,DenisSerry,Twitter for Android,1337428525654155270,https://twitter.com/statuses/1337428525654155270
@VianneyMusique Y a vraiment des news qui donnent le smile,2020-12-11 16:06:18,Sherniibal,Twitter for iPhone,1337428505399857154,https://twitter.com/statuses/1337428505399857154
"@VeuverteH Quand il y a un filon dans l’actualité qui flatte l’idéologie gauchiste, le journaleux racle les fonds de tiroir pour en rajouter. Là, il a fallu déblayer toutes les histoires de flics attaqués, blessés, tués pour arriver à sortir ce truc, sans doute sensible, mais ponctuel !",2020-12-11 16:06:16,villegluets,Twitter for iPad,1337428498709966852,https://twitter.com/statuses/1337428498709966852
"La série « Black and White », mélo manichéen au Sénégal https://t.co/UJzUlkktCB",2020-12-11 16:06:16,GAZAOUIS1,Twitter Web App,1337428495048249345,https://twitter.com/statuses/1337428495048249345
Tous les lauréats du Prix MAIF pour la sculpture https://t.co/29yPP5Hwua,2020-12-11 16:06:13,SLhommet,AmazingContent,1337428485099417603,https://twitter.com/statuses/1337428485099417603
